index,Accuracy,Precision,DiceSimilarityCoefficient,IntersectionOverUnion,HausdorffDistance,TruePositive,TrueNegative,FalsePositive,FalseNegative,AUC,TruePositive_nor,TrueNegative_nor,FalsePositive_nor,FalseNegative_nor
14509,0.983286,0.831489,0.806745,0.676087,6.855655,8038,218511,1629,2222,0.888015,3.489 ,94.840 ,0.707 ,0.964 
14510,0.98125,0.819363,0.821797,0.6975,7.28011,9961,216119,2196,2124,0.907093,4.323 ,93.802 ,0.953 ,0.922 
14511,0.97977,0.839487,0.828457,0.70715,7.141428,11255,214484,2152,2509,0.90389,4.885 ,93.092 ,0.934 ,1.089 
14512,0.975751,0.841429,0.784194,0.644999,8.774964,10151,214662,1913,3674,0.862708,4.406 ,93.169 ,0.830 ,1.595 
14513,0.978342,0.847919,0.808475,0.678521,8.774964,10532,214878,1889,3101,0.881911,4.571 ,93.263 ,0.820 ,1.346 
14514,0.976272,0.83332,0.787566,0.649574,9.055385,10134,214799,2027,3440,0.868613,4.398 ,93.229 ,0.880 ,1.493 
14515,0.980178,0.823307,0.814372,0.68687,7.211103,10018,215815,2150,2417,0.897883,4.348 ,93.670 ,0.933 ,1.049 
14516,0.981606,0.833403,0.825582,0.702972,7.28011,10030,216132,2005,2233,0.904358,4.353 ,93.807 ,0.870 ,0.969 
14517,0.981146,0.821533,0.819346,0.693977,7.071068,9851,216205,2140,2204,0.903685,4.276 ,93.839 ,0.929 ,0.957 
14518,0.982878,0.841732,0.842572,0.727969,7.28011,10557,215898,1985,1960,0.917151,4.582 ,93.706 ,0.862 ,0.851 
14519,0.98076,0.833499,0.830795,0.710564,7.348469,10883,215084,2174,2259,0.909051,4.724 ,93.352 ,0.944 ,0.980 
14520,0.981033,0.842548,0.830594,0.71027,7.348469,10713,215317,2002,2368,0.904881,4.650 ,93.454 ,0.869 ,1.028 
14521,0.982626,0.855493,0.845629,0.732545,7,10964,215433,1852,2151,0.913733,4.759 ,93.504 ,0.804 ,0.934 
14522,0.982947,0.859821,0.844697,0.731148,7.28011,10685,215786,1742,2187,0.911044,4.638 ,93.657 ,0.756 ,0.949 
14523,0.980833,0.81602,0.822892,0.69908,8.246211,10259,215725,2313,2103,0.909637,4.453 ,93.631 ,1.004 ,0.913 
14524,0.981081,0.852442,0.838238,0.721523,7.681146,11294,214747,1955,2404,0.907739,4.902 ,93.206 ,0.849 ,1.043 
14525,0.985877,0.843976,0.839736,0.723746,7.745967,8525,218621,1576,1678,0.914191,3.700 ,94.888 ,0.684 ,0.728 
14526,0.971558,0.607175,0.69494,0.532496,8.3666,7464,216383,4829,1724,0.895267,3.240 ,93.916 ,2.096 ,0.748 
14527,0.978633,0.832958,0.823365,0.699762,7.483315,11474,214003,2301,2622,0.901676,4.980 ,92.883 ,0.999 ,1.138 
14528,0.978082,0.829779,0.810748,0.681729,7.549834,10817,214533,2219,2831,0.891166,4.695 ,93.113 ,0.963 ,1.229 
14529,0.983164,0.834048,0.825058,0.702211,7.483315,9147,217374,1820,2059,0.903978,3.970 ,94.346 ,0.790 ,0.894 
14530,0.979041,0.80596,0.798599,0.664723,7.615773,9574,215997,2305,2524,0.890406,4.155 ,93.749 ,1.000 ,1.095 
14531,0.979284,0.796029,0.802581,0.670259,7.937254,9702,215925,2486,2287,0.89893,4.211 ,93.717 ,1.079 ,0.993 
14532,0.975747,0.836605,0.762091,0.615628,9.055385,8950,215862,1748,3840,0.845866,3.885 ,93.690 ,0.759 ,1.667 
14533,0.979774,0.852603,0.828651,0.707433,7.28011,11268,214472,1948,2712,0.898504,4.891 ,93.087 ,0.845 ,1.177 
14534,0.980369,0.826297,0.797129,0.662689,7.937254,8886,216991,1868,2655,0.880708,3.857 ,94.180 ,0.811 ,1.152 
14535,0.979401,0.810737,0.81429,0.686753,7.348469,10405,215249,2429,2317,0.903358,4.516 ,93.424 ,1.054 ,1.006 
14536,0.981975,0.836983,0.827712,0.706066,7.681146,9976,216271,1943,2210,0.90487,4.330 ,93.868 ,0.843 ,0.959 
14537,0.980977,0.847591,0.827094,0.705166,7.071068,10483,215534,1885,2498,0.899448,4.550 ,93.548 ,0.818 ,1.084 
14538,0.96194,0.743591,0.766788,0.621781,10.723805,14416,207215,4971,3798,0.884026,6.257 ,89.937 ,2.158 ,1.648 
